Abiotrophia defectiva	46125
Achromobacter xylosoxidans	85698
Acinetobacter baumannii	470
Actinomadura madurae	1993
Actinomadura pelletieri	111805
Actinomyces gerencseriae	52769
Actinomyces israelii	1659
Actinotignum schaalii	59505
Aerococcus sanguinicola	119206
Aerococcus urinae	1376
Aeromonas caviae	648
Aeromonas hydrophila	644
Aeromonas veronii	654
Aggregatibacter actinomycetemcomitans	714
Aggregatibacter aphrophilus	732
Agrobacterium tumefaciens	358
Anaerococcus prevotii	33034
Anaplasma phagocytophilum	948
Arcanobacterium haemolyticum	28264
Arcobacter butzleri	28197
Bacillus anthracis	1392
Bacillus cereus	1396
Bacillus licheniformis	1402
Bartonella bacilliformis	774
Bartonella clarridgeiae	56426
Bartonella elizabethae	807
Bartonella grahamii	33045
Bartonella henselae	38323
Bartonella quintana	803
Bordetella bronchiseptica	518
Bordetella parapertussis	519
Bordetella pertussis	520
Borrelia duttonii	40834
Borrelia hermsii	140
Borrelia mayonii	1674146
Borrelia miyamotoi	47466
Borrelia parkeri	141
Borrelia recurrentis	44449
Borrelia turicatae	142
Borreliella burgdorferi	139
Brachyspira hyodysenteriae	159
Brevibacillus brevis	1393
Brucella abortus	235
Brucella canis	36855
Brucella melitensis	29459
Brucella suis	29461
Burkholderia cenocepacia	95486
Burkholderia cepacia	292
Burkholderia mallei	13373
Burkholderia pseudomallei	28450
Campylobacter coli	195
Campylobacter curvus	200
Campylobacter fetus	196
Campylobacter jejuni	197
Campylobacter lari	201
Cardiobacterium hominis	2718
Chlamydia pneumoniae	83558
Chlamydia psittaci	83554
Chlamydia trachomatis	813
Citrobacter freundii	546
Clostridioides difficile	1496
Clostridium botulinum	1491
Clostridium perfringens	1502
Clostridium septicum	1504
Clostridium tetani	1513
Corynebacterium diphtheriae	1717
Corynebacterium minutissimum	38301
Corynebacterium striatum	43770
Corynebacterium ulcerans	65058
Coxiella burnetii	777
Cronobacter sakazakii	28141
Cronobacter turicensis	413502
Edwardsiella tarda	636
Ehrlichia chaffeensis	945
Ehrlichia ewingii	947
Ehrlichia muris	35795
Eikenella corrodens	539
Elizabethkingia anophelis	1117645
Elizabethkingia meningoseptica	238
Enterobacter cloacae	550
Enterococcus avium	33945
